,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
34579,35,admin.,single,university.degree,no,yes,no,cellular,may,thu,143,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
446,42,technician,married,professional.course,no,no,no,telephone,may,tue,1623,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
20173,36,admin.,married,university.degree,no,no,no,cellular,aug,mon,610,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
18171,37,admin.,married,high.school,no,yes,yes,telephone,jul,wed,1089,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
30128,31,management,single,university.degree,no,yes,no,cellular,apr,thu,211,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
36765,25,admin.,single,unknown,no,no,no,telephone,jun,tue,221,7,999,0,nonexistent,-2.9,92.963,-40.8,1.286,5076.2,yes
6835,42,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,92,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31944,36,blue-collar,single,basic.9y,no,no,yes,cellular,may,thu,1516,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,yes
41174,62,retired,married,university.degree,no,yes,no,cellular,nov,thu,208,1,1,6,success,-1.1,94.76700000000001,-50.8,1.031,4963.6,yes
38071,70,retired,married,basic.4y,no,no,no,cellular,sep,tue,150,1,3,2,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes
12368,33,services,married,high.school,no,yes,no,cellular,jul,fri,548,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,no
5863,24,admin.,married,basic.9y,no,yes,no,telephone,may,mon,764,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
30599,53,technician,married,professional.course,no,no,no,cellular,may,mon,206,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
38691,27,student,single,university.degree,no,no,yes,cellular,nov,mon,118,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
23661,30,admin.,single,university.degree,no,yes,yes,telephone,aug,thu,50,9,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
