,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,age_old,age_mid,age_young,marital_divorced,marital_married,marital_single,marital_unknown,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,education_unknown,default_no,default_unknown,housing_no,housing_unknown,housing_yes,loan_no,loan_unknown,loan_yes,contact_cellular,contact_telephone,month_apr,month_aug,month_dec,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_of_week_fri,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,poutcome_failure,poutcome_nonexistent,poutcome_success,contacted_before
34579,-0.6871095626978501,-2.5556768045090967e-13,0.976407519344501,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.9002023777932325,-0.4183219654905148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
446,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9989708425897946,0.6375088168940394,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
20173,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,-0.05988011795524021,0.7616487257781038,1.0560888341802614,1.063747359075405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
18171,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.055031093595253,1.063747359075405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
30128,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.6413211980588821,-1.2908618847663458,-0.8478442188353045,-0.4183219654905148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36765,2.6224285386011372,-2.5556768045090967e-13,-0.45255664711457005,-1.3968397166686048,-0.8178019594995681,-0.1153330805454329,-0.889624971943146,-0.6814179928747037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6835,1.5192491715014749,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9989708425897946,0.6375088168940394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
31944,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.8679412899504688,-0.4183219654905148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
41174,-0.6871095626978501,-3.911365823769354,8.121228351639857,-0.35236604796669513,2.024798876562686,-1.9812518174040235,-1.0244868965317486,-1.9750692017593685,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
38071,-0.6871095626978501,-2.31721830237509,2.405371685803572,-1.6869712913080241,-1.7380230727259114,1.937177529999016,-1.162522042875377,-1.355816980099659,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
12368,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.0529156124252355,1.063747359075405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5863,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,0.9242128804467502,0.8067664784051977,0.7056711636723466,0.9989708425897946,0.6375088168940394,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
30599,0.4160698044018124,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.853661792052852,-0.4183219654905148,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
38691,-0.6871095626978501,-2.5556768045090967e-13,-0.45255664711457005,-1.6869712913080241,-1.312578379967155,1.881199967893258,-1.1916099089631151,-1.355816980099659,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
23661,3.7256079057008,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,-0.05988011795524021,0.7616487257781038,1.0545022233027483,1.063747359075405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36463,0.4160698044018124,-2.5556768045090967e-13,-0.45255664711457005,-1.3968397166686048,-0.8178019594995681,-0.1153330805454329,-0.9023178589632498,-0.6814179928747037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
27593,-0.13551987914801883,-2.5556768045090967e-13,0.976407519344501,0.2278971013121437,-0.44435606252241794,-0.33924332896846426,0.5568352780561797,0.6926555824592849,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
36923,-0.13551987914801883,-2.31721830237509,0.976407519344501,-1.3968397166686048,-0.8178019594995681,-0.1153330805454329,-0.931934595343492,-0.6814179928747037,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
41000,0.4160698044018124,-2.5556768045090967e-13,2.405371685803572,-0.35236604796669513,1.7632291765702666,-1.738682381612407,-1.0324199509193135,-1.9750692017593685,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
12387,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,0.6870116759990379,-0.46985764054856616,1.0534444827177398,1.063747359075405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
34670,0.9676594879516436,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.9002023777932325,-0.4183219654905148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
36019,0.4160698044018124,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.9002023777932325,-0.4183219654905148,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
31512,2.070838855051306,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.8642391979029385,-0.4183219654905148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
9028,0.9676594879516436,-2.5556768045090967e-13,-0.45255664711457005,1.0982918252304017,1.5489311091066005,-0.30192495423129195,1.0037306752223338,1.063747359075405,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33008,-0.13551987914801883,-2.5556768045090967e-13,-0.45255664711457005,-0.7585502524618822,-0.9281024353999774,-1.1229291984490728,-0.8827496581405897,-0.4183219654905148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
